Gene,Gene Name,log_2 fold change,Biotype,Tractability,Drug,Interaction Type,PMID,Interaction Score,Pathways
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000068885"" target=""_blank"">ENSG00000068885</a>",IFT80,2.2,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000074410"" target=""_blank"">ENSG00000074410</a>",CA12,1.5,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand High-Quality Pocket Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Database Ubiquitination Half-life Data Small Molecule Binder,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; CELECOXIB; CURCUMIN; DICHLORPHENAMIDE; ETHOXZOLAMIDE; FERULIC ACID; MAFENIDE; PARABEN; PHENOL; SULTHIAME; TOPIRAMATE; TRIFLUOROMETHANESULFONAMIDE; ZONISAMIDE,N/A; inhibitor,21278619; 22336956; 23159038,1.083515369542136,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000077274"" target=""_blank"">ENSG00000077274</a>",CAPN6,1.9,protein_coding,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000078018"" target=""_blank"">ENSG00000078018</a>",MAP2,1.5,protein_coding,High-Quality Ligand GO CC high conf Human Protein Atlas loc Database Ubiquitination Half-life Data Small Molecule Binder,COLCHICINE; MELATONIN,N/A,7511033; 8829136,1.4020250939223236,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000078098"" target=""_blank"">ENSG00000078098</a>",FAP,1.8,protein_coding,Structure with Ligand High-Quality Ligand High-Quality Pocket Druggable Family Advanced Clinical UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Database Ubiquitination Small Molecule Binder Advanced Clinical,AZD-5423; BIBH 1; F19 131I; PONATINIB; RIPK1 INHIBITOR 22B; RIPK3 INHIBITOR 18; RIPK3 INHIBITOR 42; SIBROTUZUMAB; SIMLUKAFUSP ALFA; SZM594; SZM679; TAK-632; TALABOSTAT,N/A; binder; inhibitor,,1.8144109993230029,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000078177"" target=""_blank"">ENSG00000078177</a>",N4BP2,1.6,protein_coding,High-Quality Pocket Human Protein Atlas loc UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000082258"" target=""_blank"">ENSG00000082258</a>",CCNT2,1.5,protein_coding,High-Quality Ligand Human Protein Atlas loc UniProt Ubiquitination Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000083307"" target=""_blank"">ENSG00000083307</a>",GRHL2,1.5,protein_coding,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000084110"" target=""_blank"">ENSG00000084110</a>",HAL,3.2,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000087250"" target=""_blank"">ENSG00000087250</a>",MT3,1.5,protein_coding,NaN,IL-6,N/A,9675420,5.495136690409003,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000088970"" target=""_blank"">ENSG00000088970</a>",KIZ,1.5,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089053"" target=""_blank"">ENSG00000089053</a>",ANAPC5,1.9,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000089916"" target=""_blank"">ENSG00000089916</a>",GPATCH2L,1.8,protein_coding,UniProt Ubiquitination Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095319"" target=""_blank"">ENSG00000095319</a>",NUP188,2.0,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095574"" target=""_blank"">ENSG00000095574</a>",IKZF5,1.7,protein_coding,Human Protein Atlas loc UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095627"" target=""_blank"">ENSG00000095627</a>",TDRD1,1.5,protein_coding,Structure with Ligand,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100033"" target=""_blank"">ENSG00000100033</a>",PRODH,2.3,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100473"" target=""_blank"">ENSG00000100473</a>",COCH,2.3,protein_coding,UniProt loc high conf GO CC high conf UniProt SigP or TMHMM,VINCRISTINE,N/A,30506673,1.288982680466309,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100483"" target=""_blank"">ENSG00000100483</a>",VCPKMT,3.3,protein_coding,Structure with Ligand High-Quality Ligand Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100583"" target=""_blank"">ENSG00000100583</a>",SAMD15,3.2,protein_coding,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100697"" target=""_blank"">ENSG00000100697</a>",DICER1,1.6,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000100934"" target=""_blank"">ENSG00000100934</a>",SEC23A,1.7,protein_coding,Structure with Ligand UniProt loc high conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101166"" target=""_blank"">ENSG00000101166</a>",PRELID3B,1.5,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101695"" target=""_blank"">ENSG00000101695</a>",RNF125,1.6,protein_coding,UniProt Ubiquitination Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000101888"" target=""_blank"">ENSG00000101888</a>",NXT2,1.8,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102076"" target=""_blank"">ENSG00000102076</a>",OPN1LW,2.3,protein_coding,Structure with Ligand Druggable Family GO CC high conf UniProt SigP or TMHMM,11-CIS-RETINAL; 13-CIS-RETINAL; ALL-TRANS-RETINAL; CHEMBL:CHEMBL1952259; CYCLOCITRAL,N/A,21314100,14.169602465983214,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102081"" target=""_blank"">ENSG00000102081</a>",FMR1,2.0,protein_coding,Structure with Ligand UniProt loc med conf GO CC med conf UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102195"" target=""_blank"">ENSG00000102195</a>",GPR50,1.5,protein_coding,Druggable Family UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Human Protein Atlas loc,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102218"" target=""_blank"">ENSG00000102218</a>",RP2,3.8,protein_coding,Structure with Ligand UniProt loc high conf GO CC high conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102837"" target=""_blank"">ENSG00000102837</a>",OLFM4,1.5,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Human Protein Atlas loc,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104435"" target=""_blank"">ENSG00000104435</a>",STMN2,1.8,protein_coding,UniProt loc high conf UniProt Ubiquitination Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104497"" target=""_blank"">ENSG00000104497</a>",SNX16,1.5,protein_coding,UniProt loc med conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000104826"" target=""_blank"">ENSG00000104826</a>",LHB,1.5,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000105700"" target=""_blank"">ENSG00000105700</a>",KXD1,1.9,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000106400"" target=""_blank"">ENSG00000106400</a>",ZNHIT1,1.5,protein_coding,Structure with Ligand Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000106483"" target=""_blank"">ENSG00000106483</a>",SFRP4,2.6,protein_coding,UniProt loc high conf UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107362"" target=""_blank"">ENSG00000107362</a>",ABHD17B,1.5,protein_coding,GO CC high conf UniProt loc med conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107679"" target=""_blank"">ENSG00000107679</a>",PLEKHA1,1.5,protein_coding,UniProt loc high conf GO CC high conf UniProt loc med conf Database Ubiquitination Half-life Data Small Molecule Binder,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107897"" target=""_blank"">ENSG00000107897</a>",ACBD5,1.5,protein_coding,Structure with Ligand UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000107951"" target=""_blank"">ENSG00000107951</a>",MTPAP,1.5,protein_coding,Med-Quality Pocket Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108599"" target=""_blank"">ENSG00000108599</a>",AKAP10,1.7,protein_coding,GO CC high conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108602"" target=""_blank"">ENSG00000108602</a>",ALDH3A1,1.5,protein_coding,Structure with Ligand High-Quality Ligand High-Quality Pocket Druggable Family GO CC high conf Database Ubiquitination Small Molecule Binder,(+)-ADTN; (+)-BUTACLAMOL; 5-HYDROXYTRYPTAMINE; A68930; APOMORPHINE; BETA-ERGOCRIPTINE; BROMOCRIPTINE; CABERGOLINE; CARBOPLATIN; CHLORPROMAZINE; CLOZAPINE; CYCLOPHOSPHAMIDE ANHYDROUS; DEHYDRATED ALCOHOL; DISULFIRAM; DOPAMINE; DOXORUBICIN HYDROCHLORIDE; ECOPIPAM HYDROCHLORIDE; FENOLDOPAM; FLUOROURACIL; FLUPENTHIXOL; FLUPHENAZINE HYDROCHLORIDE; HALOPERIDOL DECANOATE; KETANSERIN; LISURIDE; N-PROPYLNORAPOMORPHINE; NORADRENALINE; PERGOLIDE; ROTIGOTINE; SCH-23390; SKF-38393; SKF-76783; SKF-83566; SPIPERONE; THIORIDAZINE; THIOTEPA,N/A; agonist; inhibitor,14987799; 18854779; 29507678; 31686598; 7907815,0.22494360740525268,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000108821"" target=""_blank"">ENSG00000108821</a>",COL1A1,1.6,protein_coding,Structure with Ligand GO CC high conf UniProt loc med conf UniProt SigP or TMHMM Database Ubiquitination Half-life Data Approved Drug,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; ETIDRONIC ACID; OCRIPLASMIN; PAMIDRONATE; SOMATROPIN (RECOMBINANT DNA ORIGIN); VALPROIC ACID; ZOLEDRONIC ACID ANHYDROUS,N/A; cleavage,11907712; 21396799; 22026923; 26727275,0.8095726271321488,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090; Collagen Chain Trimerization R-HSA-8948216; Collagen Formation R-HSA-1474290
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109272"" target=""_blank"">ENSG00000109272</a>",PF4V1,3.0999999999999996,protein_coding,UniProt loc med conf UniProt SigP or TMHMM GO CC med conf,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109452"" target=""_blank"">ENSG00000109452</a>",INPP4B,2.0,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110455"" target=""_blank"">ENSG00000110455</a>",ACCS,1.5,protein_coding,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110700"" target=""_blank"">ENSG00000110700</a>",RPS13,1.7,protein_coding,Approved Drug Structure with Ligand High-Quality Ligand UniProt Ubiquitination Database Ubiquitination Half-life Data Small Molecule Binder Advanced Clinical,ATALUREN; CYCLOHEXIMIDE; DORLIMOMAB ARITOX; EXALUREN; MT-3724,inhibitor; modulator,,0.12542926651954794,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000110768"" target=""_blank"">ENSG00000110768</a>",GTF2H1,1.5,protein_coding,Structure with Ligand UniProt Ubiquitination Database Ubiquitination Half-life Data,CM4620; GSK-7975A,blocker,,13.05094963972138,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111261"" target=""_blank"">ENSG00000111261</a>",MANSC1,1.8,protein_coding,UniProt SigP or TMHMM,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111445"" target=""_blank"">ENSG00000111445</a>",RFC5,1.8,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000111554"" target=""_blank"">ENSG00000111554</a>",MDM1,1.8,protein_coding,Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000112796"" target=""_blank"">ENSG00000112796</a>",ENPP5,1.5,protein_coding,UniProt loc high conf UniProt SigP or TMHMM GO CC med conf Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113389"" target=""_blank"">ENSG00000113389</a>",NPR3,1.6,protein_coding,High-Quality Pocket UniProt loc high conf UniProt SigP or TMHMM GO CC med conf Database Ubiquitination Half-life Data Small Molecule Binder Advanced Clinical,ANX-042; ATRIAL NATRIURETIC PEPTIDE; CARPERITIDE; NESIRITIDE,N/A; agonist,23694773,10.33200179811276,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113597"" target=""_blank"">ENSG00000113597</a>",TRAPPC13,1.7,protein_coding,Human Protein Atlas loc Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000113615"" target=""_blank"">ENSG00000113615</a>",SEC24A,1.8,protein_coding,Structure with Ligand UniProt loc high conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114166"" target=""_blank"">ENSG00000114166</a>",KAT2B,1.8,protein_coding,Structure with Ligand High-Quality Ligand High-Quality Pocket Druggable Family Literature Database Ubiquitination Small Molecule Binder,ANACARDIC ACID; CHEMBL:CHEMBL1797707; CHEMBL:CHEMBL1797708; CHEMBL:CHEMBL1797709; CHEMBL:CHEMBL1797711; CHEMBL:CHEMBL257748; CHEMBL:CHEMBL404916; CHEMBL:CHEMBL416038; TRIAZOLAM,N/A,20655754; 21292492; 22137933,4.842055069154285,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000114270"" target=""_blank"">ENSG00000114270</a>",COL7A1,1.9,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,CALMODULIN; CRISABOROLE; SCH51866; VINPOCETINE,activator; inhibitor,,2.3149898765696255,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090; Collagen Chain Trimerization R-HSA-8948216; Collagen Formation R-HSA-1474290
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115009"" target=""_blank"">ENSG00000115009</a>",CCL20,1.7,protein_coding,Structure with Ligand UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Half-life Data,GSK3050002,N/A,,52.20379855888553,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115084"" target=""_blank"">ENSG00000115084</a>",SLC35F5,1.7,protein_coding,UniProt SigP or TMHMM Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000115966"" target=""_blank"">ENSG00000115966</a>",ATF2,1.6,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,2-METHOXYESTRADIOL; EFLORNITHINE; H2O2; RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1; STREPTOZOCIN; THERAPEUTIC GLUCOCORTICOID,N/A,12805110; 15691880; 16125722; 17525285; 17804813; 9773928,0.9516769070272121,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000116903"" target=""_blank"">ENSG00000116903</a>",EXOC8,1.5,protein_coding,GO CC high conf Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000117620"" target=""_blank"">ENSG00000117620</a>",SLC35A3,1.7,protein_coding,UniProt SigP or TMHMM Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118454"" target=""_blank"">ENSG00000118454</a>",ANKRD13C,1.9,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118785"" target=""_blank"">ENSG00000118785</a>",SPP1,1.6,protein_coding,Advanced Clinical UniProt loc high conf GO CC high conf UniProt SigP or TMHMM,ALTEPLASE; ANHYDROUS TACROLIMUS; ASK-8007; CALCITONIN; CHONDROITIN SULFATES; GENTAMICIN; IMMUNOSUPPRESSANT; PAMIDRONATE; PROTEIN PHOSPHATASE INHIBITOR; SODIUM BUTYRATE; TETRADECANOYLPHORBOL ACETATE; TRETINOIN; TYROSINE KINASE INHIBITOR; WORTMANNIN; ZOLEDRONIC ACID ANHYDROUS,N/A; inhibitor,11274264; 11818502; 12009309; 12118914; 12176960; 14703434; 15978615; 16103732; 21396799; 8013390; 9224725,0.6942192092620222,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119616"" target=""_blank"">ENSG00000119616</a>",FCF1,3.4,protein_coding,Structure with Ligand Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119711"" target=""_blank"">ENSG00000119711</a>",ALDH6A1,1.7,protein_coding,Druggable Family Database Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000119888"" target=""_blank"">ENSG00000119888</a>",EPCAM,3.6,protein_coding,Structure with Ligand Approved Drug UniProt loc high conf GO CC high conf UniProt SigP or TMHMM Human Protein Atlas loc Database Ubiquitination Advanced Clinical,"ADECATUMUMAB; ADJUVANT; ALDESLEUKIN; ALUM, POTASSIUM; ALVAC VACCINE; ANTINEOPLASTIC VACCINE; CATUMAXOMAB; CITATUZUMAB BOGATOX; DNA VACCINE; EDRECOLOMAB; FREUND'S ADJUVANT; HEAVY MINERAL OIL; IGN-101; INCOMPLETE FREUND'S ADJUVANT; ING-1; KEYHOLE LIMPET HEMOCYANIN; LEUCOVORIN CALCIUM; LYMPHOKINE-ACTIVATED KILLER CELLS; MOC31-PE; OPORTUZUMAB MONATOX; SOLITOMAB; TAG-72 ANTIGEN; TRASTUZUMAB; TUCOTUZUMAB CELMOLEUKIN; VACCINE",N/A; binder; inhibitor; modulator; other/unknown,10431685; 10470170; 11768621; 12174877; 12855617; 14741172; 15328177; 15382049; 15567937; 15637741; 15655555; 16619291; 2316628; 23900680,2.00545550078645,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000120647"" target=""_blank"">ENSG00000120647</a>",CCDC77,2.3,protein_coding,UniProt Ubiquitination Database Ubiquitination,CAPECITABINE,N/A,28715540,2.047207786622961,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000121350"" target=""_blank"">ENSG00000121350</a>",PYROXD1,1.6,protein_coding,Structure with Ligand Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000121552"" target=""_blank"">ENSG00000121552</a>",CSTA,3.7,protein_coding,Structure with Ligand GO CC high conf Database Ubiquitination Half-life Data,,,,,Keratinization R-HSA-6805567
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000122176"" target=""_blank"">ENSG00000122176</a>",FMOD,1.6,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,&BETA;-SECRETASE INHIBITOR IV; AM-6494; ATABECESTAT; COMPOUND 3 [PMID: 27347366]; COMPOUND 3L [PMID: 30637955]; COMPOUND 6 [PMID: 34553947]; COMPOUND J [PMID: 21907142]; EXAMPLE 2 [WO2013004676]; EXAMPLE 20 [WO2010128058]; EXAMPLE 41 [WO2012028563]; EXAMPLE 92 [WO2012095521]; EXAMPLE 98 [WO2011020806]; HYDROXYETHYLAMINE TRANSITION-STATE INHIBITOR 1; JNJ-67569762; NB-360; RO5508887; UMIBECESTAT; VERUBECESTAT,inhibitor,,1.8529126031703198,Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244; Defective CHST6 Causes MCDC1 R-HSA-3656225; Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243; Keratan Sulfate Degradation R-HSA-2022857
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123091"" target=""_blank"">ENSG00000123091</a>",RNF11,1.5,protein_coding,UniProt Ubiquitination Half-life Data,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123201"" target=""_blank"">ENSG00000123201</a>",GUCY1B2,1.7,transcribed_unitary_pseudogene,NaN,ATACIGUAT; CINACIGUAT; ISOSORBIDE DINITRATE; ISOSORBIDE MONONITRATE; NITRIC OXIDE; NITROGLYCERIN; OLINCIGUAT; PENTAERYTHRITOL TETRANITRATE; PRALICIGUAT; RIOCIGUAT; RUNCACIGUAT; SODIUM NITROPRUSSIDE; VERICIGUAT,activator; positive modulator,,0.793198776464715,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000123219"" target=""_blank"">ENSG00000123219</a>",CENPK,3.8000000000000003,protein_coding,Database Ubiquitination,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124813"" target=""_blank"">ENSG00000124813</a>",RUNX2,3.6,protein_coding,Structure with Ligand UniProt Ubiquitination Database Ubiquitination,ANTISENSE OLIGONUCLEOTIDES,N/A,10722711,3.163866579326396,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000124875"" target=""_blank"">ENSG00000124875</a>",CXCL6,1.5,protein_coding,GO CC high conf UniProt loc med conf UniProt SigP or TMHMM,,,,,
